19:33:59.527  CMBT   | Killed Py6Jl	 Ship_Race3_M_T2_Pirate|0000000248;	 killer Feresey|0000000204 Weapon_Plasmagun_Heavy_T5_Pirate 
19:43:01.146  CMBT   | Killed Alien_Destroyer_Life_02_T5|0000001154;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:03.964  CMBT   | Killed Alien_Destroyer_SmallHearth_T5|0000001159;	 killer tuman|0000000824 Weapon_Laser_Heavy_T5_Rel 
19:43:06.146  CMBT   | Killed Alien_Destroyer_Life_01_T5|0000001153;	 killer Jigolee|0000000479 Weapon_OrbGun_T5_Epic 
19:43:07.610  CMBT   | Killed Alien_Destroyer_Hearth_T5|0000001157;	 killer Jigolee|0000000479 Weapon_OrbGun_T5_Epic 
19:43:09.290  CMBT   | Killed Turret_CruiserAlien_T5R|0000001321;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:10.871  CMBT   | Killed Turret_CruiserAlien_T5R|0000001316;	 killer Jigolee|0000000479 Weapon_OrbGun_T5_Epic 
19:43:13.386  CMBT   | Killed Turret_CruiserAlien_T5R|0000001341;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:43:13.598  CMBT   | Killed Cruiser_Torpedo_RW|0000005999;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:14.787  CMBT   | Killed Cruiser_Torpedo_RW|0000006276;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:15.803  CMBT   | Killed xxxStretchxxx	 Ship_Race1_M_T5_Hadrian|0000000577;	 killer AlienCruiser_t5|0000001149 RW_SpaceMissile_Spam 
19:43:15.962  CMBT   | Killed Cruiser_Torpedo_RW|0000006509;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:15.963  CMBT   | Killed Turret_CruiserAlien_T5R|0000001346;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:43:16.019  CMBT   | Killed Turret_CruiserAlien_T5R|0000001186;	 killer Jigolee|0000000479 Weapon_OrbGun_T5_Epic 
19:43:16.812  CMBT   | Killed Turret_CruiserAlien_T5R|0000001311;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:17.603  CMBT   | Killed Turret_CruiserAlien_T5R|0000001381;	 killer hurh54|0000000440 Weapon_Laser_Heavy_T5_Rel 
19:43:18.320  CMBT   | Killed Cruiser_Torpedo_RW|0000006771;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:18.498  CMBT   | Killed Turret_CruiserAlien_T5R|0000001206;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:43:19.111  CMBT   | Killed Cruiser_Torpedo_RW|0000006980;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:19.332  CMBT   | Killed Module_CookCannon_T5_Epic(Jigolee)|0000000494;	 killer Turret_CruiserAlien_T5R|0000001179 Turret_CruiserAlien_T5R 
19:43:19.663  CMBT   | Killed Turret_CruiserAlien_T5R|0000001179;	 killer Jigolee|0000000479 Weapon_OrbGun_T5_Epic 
19:43:20.740  CMBT   | Killed Cruiser_Torpedo_RW|0000007170;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:22.699  CMBT   | Killed Cruiser_Torpedo_RW|0000007356;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:24.154  CMBT   | Killed Cruiser_Torpedo_RW|0000007510;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:24.718  CMBT   | Killed Turret_CruiserAlien_T5R|0000001306;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:27.021  CMBT   | Killed Turret_CruiserAlien_T5R|0000001346;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:43:34.372  CMBT   | Killed Turret_CruiserAlien_T5R|0000001311;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:36.391  CMBT   | Killed Turret_CruiserAlien_T5R|0000001306;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:42.635  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:44.767  CMBT   | Killed Cruiser_Torpedo_RW|0000011231;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:46.223  CMBT   | Killed Cruiser_Torpedo_RW|0000011345;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:47.728  CMBT   | Killed Cruiser_Torpedo_RW|0000011604;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:50.273  CMBT   | Killed Alien_Destroyer_Life_01_T5|0000001153;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:43:51.048  CMBT   | Killed Cruiser_Torpedo_RW|0000011812;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:51.772  CMBT   | Killed Cruiser_Torpedo_RW|0000012011;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:43:54.797  CMBT   | Killed Cruiser_Torpedo_RW|0000012189;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:55.358  CMBT   | Killed Cruiser_Torpedo_RW|0000012876;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:43:55.998  CMBT   | Killed Cruiser_Torpedo_RW|0000014102;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:03.173  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer Jigolee|0000014755 Weapon_OrbGun_T5_Epic 
19:44:12.710  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:15.409  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:19.044  CMBT   | Killed Cruiser_Torpedo_RW|0000018615;	 killer tuman|0000000824 Weapon_Laser_Heavy_T5_Rel 
19:44:19.377  CMBT   | Killed Cruiser_Torpedo_RW|0000018922;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:20.901  CMBT   | Killed Cruiser_Torpedo_RW|0000019207;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:24.383  CMBT   | Killed Cruiser_Torpedo_RW|0000019706;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:24.661  CMBT   | Killed Cruiser_Torpedo_RW|0000019496;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:25.738  CMBT   | Killed Cruiser_Torpedo_RW|0000019964;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:26.794  CMBT   | Killed Cruiser_Torpedo_RW|0000020233;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:27.189  CMBT   | Killed Alien_Destroyer_Life_01_T5|0000001153;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:44:30.221  CMBT   | Killed Cruiser_Torpedo_RW|0000020981;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:44:31.231  CMBT   | Killed Alien_Destroyer_Hearth_T5|0000001157;	 killer Jigolee|0000014755 Weapon_OrbGun_T5_Epic 
19:44:37.000  CMBT   | Killed Turret_CruiserAlien_T5R|0000001306;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:44:38.007  CMBT   | Killed Alien_Destroyer_Life_02_T5|0000001154;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:39.430  CMBT   | Killed Turret_CruiserAlien_T5R|0000001321;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:44:48.895  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:44:55.746  CMBT   | Killed SwarmPack2(georgeatg)|0000001044;	 killer georgeatg|0000001044 (suicide) <FriendlyFire>
